date	HG-IV	Fevi	F4	EGC
2017-07-03	28.714563	28.714563	69.071476	-3.845592
2017-07-04	23.076943	23.076943	69.071476	-18.902869
2017-07-05	16.063782	16.063782	53.136419	-25.15401
2017-07-06	6.550109	6.550109	45.485678	-34.88855
2017-07-07	2.939599	2.939599	43.940741	-37.148251
2017-07-08	9.159069	9.159069	33.268729	-32.861575
2017-07-09	15.340924	15.340924	32.786108	-29.222006
2017-07-10	6.550109	6.550109	27.492998	-29.441027
2017-07-11	-6.266967	-6.266967	29.854227	-28.291171
2017-07-12	-7.79998	-7.79998	29.854227	-23.937334
2017-07-13	-11.226961	-11.226961	38.451762	-37.148251
2017-07-14	-10.711737	-10.711737	21.503949	-34.88855
2017-07-15	7.79998	7.79998	33.612828	-35.33417
2017-07-16	-7.79998	-7.79998	29.854227	-28.58563
2017-07-17	-6.266967	-6.266967	41.3382	-28.434122
2017-07-18	-7.563863	-7.563863	49.354364	-31.220938
2017-07-19	17.003417	17.003417	53.563905	-23.360647
2017-07-20	6.550109	6.550109	58.246633	-23.360647
2017-07-21	-9.159069	-9.159069	31.058479	-8.510357
2017-07-22	-9.159069	-9.159069	17.72235	6.539195
2017-07-23	7.563863	7.563863	17.72235	7.399599
2017-07-24	17.491371	17.491371	42.911335	19.072334
2017-07-25	21.892817	21.892817	48.817065	37.348517
2017-07-26	36.012165	36.012165	53.136419	19.520834
2017-07-27	63.428685	63.428685	79.953671	10.68472
2017-07-28	32.452237	32.452237	26.889457	15.766072
2017-07-29	26.133018	26.133018	34.662268	14.704675
2017-07-30	41.415776	41.415776	79.953671	10.68472
2017-07-31	41.415776	41.415776	75.487133	18.892631
2017-08-01	43.392512	43.392512	76.009574	21.614212
2017-08-02	43.392512	43.392512	79.636829	23.259348
2017-08-03	43.146923	43.146923	79.636829	19.520834
2017-08-04	55.638635	55.638635	76.009574	41.818355
2017-08-05	57.403337	57.403337	79.924957	35.913982
2017-08-06	45.670746	45.670746	78.424406	18.902869
2017-08-07	87.571652	87.571652	72.420457	68.550491
2017-08-08	90.147453	90.147453	79.953671	46.434311
2017-08-09	92.593401	92.593401	79.953671	28.004921
2017-08-10	88.387529	88.387529	79.953671	101.649939
2017-08-11	119.862802	119.862802	79.953671	105.166033
2017-08-12	90.147453	90.147453	79.953671	98.39255
2017-08-13	78.663744	78.663744	75.417142	78.984114
2017-08-14	87.728835	87.728835	75.417142	116.30897
2017-08-15	92.593401	92.593401	79.953671	43.259728
2017-08-16	107.111126	107.111126	79.953671	118.469886
2017-08-17	100.759555	100.759555	72.420457	102.67289
2017-08-18	80.727609	80.727609	72.420457	92.068225
2017-08-19	74.403482	74.403482	79.953671	85.48237
2017-08-20	55.638635	55.638635	79.953671	88.498377
2017-08-21	74.403482	74.403482	79.953671	108.47774
2017-08-22	54.54807	54.54807	79.953671	96.817599
2017-08-23	63.428685	63.428685	79.953671	96.734147
2017-08-24	57.379815	57.379815	67.346022	109.958537
2017-08-25	102.232319	102.232319	79.924957	111.655745
2017-08-26	59.786485	59.786485	76.009574	126.464222
2017-08-27	40.043952	40.043952	75.154497	122.270847
2017-08-28	89.648414	89.648414	79.953671	109.517454
2017-08-29	54.135753	54.135753	79.953671	95.131978
2017-08-30	130.765242	130.765242	77.643141	145.822373
2017-08-31	126.324921	126.324921	79.953671	108.988964
2017-09-01	73.633697	73.633697	75.417142	136.548415
2017-09-02	117.795405	117.795405	79.815974	146.914751
2017-09-03	134.945831	134.945831	79.953671	128.790304
2017-09-04	111.714725	111.714725	78.708668	136.413723
2017-09-05	122.275777	122.275777	79.953671	128.774828
2017-09-06	134.945831	134.945831	79.953671	176.418776
2017-09-07	134.945831	134.945831	79.953671	184.675269
2017-09-08	134.945831	134.945831	79.924957	210.37756
2017-09-09	134.945831	134.945831	79.953671	181.53005
